group,month,month_last_day,month_filings,avg_filings,month_diff
White,January,,827,556,1.48741007194245
White,February,,762,448.25,1.69994422755159
White,March,,496,391.75,1.26611359285258
White,April,,93,367.25,0.253233492171545
White,May,09/05/2020,16,204.666666666667,0.0781758957654723
Black,January,,843,835.5,1.00897666068223
Black,February,,790,675.25,1.16993706034802
Black,March,,425,568.25,0.747910250769908
Black,April,,110,581,0.189328743545611
Black,May,09/05/2020,19,193,0.0984455958549223
Latinx,January,,1924,1801.5,1.06799888981404
Latinx,February,,1565,1391,1.12508986340762
Latinx,March,,811,1236.25,0.656016177957533
Latinx,April,,225,1246.5,0.180505415162455
Latinx,May,09/05/2020,81,571.916666666667,0.141629025207635
Other,January,,2715,2200.5,1.23381049761418
Other,February,,2412,1598.5,1.50891460744448
Other,March,,1341,1396.5,0.960257787325457
Other,April,,173,1483.25,0.116635766054273
Other,May,09/05/2020,34,507,0.0670611439842209
